time	temp	oxy	light	PST
1510226400	1.310678	11.494208	0	11/9/2017 3:20
1510227000	1.299661	11.508732	0	11/9/2017 3:30
1510227600	1.28864	11.504998	0	11/9/2017 3:40
1510228200	1.299661	11.508732	0	11/9/2017 3:50
1510228800	1.310678	11.503335	0	11/9/2017 4:00
1510229400	1.321693	11.507074	0	11/9/2017 4:10
1510230000	1.332704	11.510817	0	11/9/2017 4:20
1510230600	1.310678	11.485089	0	11/9/2017 4:30
1510231200	1.266589	11.506668	0	11/9/2017 4:40
1510231800	1.266589	11.515804	0	11/9/2017 4:50
1510232400	1.266589	11.515804	0	11/9/2017 5:00
1510233000	1.233489	11.504624	0	11/9/2017 5:10
1510233600	1.211407	11.515449	0	11/9/2017 5:20
1510234200	1.211407	11.515449	0	11/9/2017 5:30
1510234800	1.211407	11.52459	0	11/9/2017 5:40
1510235400	1.156148	11.496891	0	11/9/2017 5:50
1510236000	1.111884	11.53689	0	11/9/2017 6:00
1510236600	1.111884	11.53689	0	11/9/2017 6:10
1510237200	1.134022	11.544313	0	11/9/2017 6:20
1510237800	1.167206	11.555477	0	11/9/2017 6:30
1510238400	1.178261	11.550036	0	11/9/2017 6:40
1510239000	1.211407	11.52459	0	11/9/2017 6:50
1510239600	1.233489	11.513757	5.0073	11/9/2017 7:00
1510240200	1.255559	11.512073	15.0219	11/9/2017 7:10
1510240800	1.277616	11.510398	50.073	11/9/2017 7:20
1510241400	1.28864	11.504998	30.0438	11/9/2017 7:30
1510242000	1.299661	11.490476	35.0511	11/9/2017 7:40
1510242600	1.310678	11.503335	65.0949	11/9/2017 7:50
1510243200	1.321693	11.507074	110.1606	11/9/2017 8:00
1510243800	1.332704	11.492555	140.2044	11/9/2017 8:10
1510244400	1.343713	11.487172	155.2263	11/9/2017 8:20
1510245000	1.354718	11.500037	115.1679	11/9/2017 8:30
1510245600	1.365721	11.494654	80.1168	11/9/2017 8:40
1510246200	1.354718	11.509171	105.1533	11/9/2017 8:50
1510246800	1.321693	11.479705	95.1387	11/9/2017 9:00
